node_id,node_type,label,description,approved_name,target_id,biotype,association_score,gap_score,conservative_gap_score,gap_rank,gap_category,gap_interpretation_tier,text_coverage_status,literature_mentions,trial_mentions,symbol_ambiguity_flag,mention_match_quality,paper_id,year,citation_count,topic_id,topic_label,nct_id,overall_status,phases,top_terms,n_papers,source,n_trials
target_HFE,Target,HFE,,homeostatic iron regulator,ENSG00000010704,protein_coding,0.6048602773233976,0.203483,0.254354,34.0,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,moderate,not_detected,,,,,,,,,,,,
target_CDC25B,Target,CDC25B,,cell division cycle 25B,ENSG00000101224,protein_coding,0.5985275901516723,0.198784,0.24848,35.0,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_LRP1,Target,LRP1,,LDL receptor related protein 1,ENSG00000123384,protein_coding,0.4618482608684721,0.194918,0.202996,36.0,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,1.0,0.0,low,reliable,,,,,,,,,,,,
target_PTK2B,Target,PTK2B,,protein tyrosine kinase 2 beta,ENSG00000120899,protein_coding,0.4614475449874801,0.194621,0.202624,37.0,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,1.0,0.0,low,reliable,,,,,,,,,,,,
target_CR1,Target,CR1,,complement C3b/C4b receptor 1 (Knops blood group),ENSG00000203710,protein_coding,0.5926783768207446,0.194443,0.243054,38.0,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_ADRA2B,Target,ADRA2B,,adrenoceptor alpha 2B,ENSG00000274286,protein_coding,0.5914859782379777,0.193558,0.241948,39.0,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_NOX4,Target,NOX4,,NADPH oxidase 4,ENSG00000086991,protein_coding,0.379211837133377,0.190665,0.173899,40.0,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,2.0,0.0,low,reliable,,,,,,,,,,,,
target_HMGCR,Target,HMGCR,,3-hydroxy-3-methylglutaryl-CoA reductase,ENSG00000113161,protein_coding,0.584711381261442,0.188531,0.235663,41.0,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_GRN,Target,GRN,,granulin precursor,ENSG00000030582,protein_coding,0.5810506372714668,0.185814,0.232268,42.0,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,moderate,not_detected,,,,,,,,,,,,
target_EPHA1,Target,EPHA1,,EPH receptor A1,ENSG00000146904,protein_coding,0.580575990464643,0.185462,0.231827,43.0,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_FOXO3,Target,FOXO3,,forkhead box O3,ENSG00000118689,protein_coding,0.5736355541079968,0.180311,0.225389,44.0,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_ABCA7,Target,ABCA7,,ATP binding cassette subfamily A member 7,ENSG00000064687,protein_coding,0.5653009027165964,0.174126,0.217658,45.0,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
target_NDUFAB1,Target,NDUFAB1,,NADH:ubiquinone oxidoreductase subunit AB1,ENSG00000004779,protein_coding,0.5608605760909913,0.170831,0.213539,46.0,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,0.0,0.0,low,not_detected,,,,,,,,,,,,
