target_id,approved_symbol,approved_name,biotype,association_score,literature_mentions,trial_mentions,literature_documents_mentioned,trial_documents_mentioned,literature_to_trial_gap_signal,symbol_ambiguity_flag,mention_match_quality,text_coverage_status
ENSG00000177971,IMP3,IMP U3 small nucleolar ribonucleoprotein 3,protein_coding,0.4619748183558772,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000109111,SUPT6H,"SPT6 homolog, histone chaperone and transcription elongation factor",protein_coding,0.4619748183558772,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000171566,PLRG1,pleiotropic regulator 1,protein_coding,0.4619748183558772,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000182004,SNRPE,small nuclear ribonucleoprotein polypeptide E,protein_coding,0.4619748183558772,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000048162,NOP16,NOP16 nucleolar protein,protein_coding,0.4619748183558772,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000135521,LTV1,LTV1 ribosome biogenesis factor,protein_coding,0.4619748183558772,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000130810,PPAN,peter pan homolog,protein_coding,0.4619748183558772,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000163719,MTMR14,myotubularin related protein 14,protein_coding,0.4619748183558772,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000155561,NUP205,nucleoporin 205,protein_coding,0.4619748183558772,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000123384,LRP1,LDL receptor related protein 1,protein_coding,0.4618482608684721,1,0,1,0,1,low,reliable,checked_with_mentions
ENSG00000073712,FERMT2,FERM domain containing kindlin 2,protein_coding,0.4616617934842458,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000120899,PTK2B,protein tyrosine kinase 2 beta,protein_coding,0.4614475449874801,1,0,1,0,1,low,reliable,checked_with_mentions
ENSG00000167815,PRDX2,peroxiredoxin 2,protein_coding,0.460568664371186,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000198554,WDHD1,WD repeat and HMG-box DNA binding protein 1,protein_coding,0.4598018260294176,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000086189,DIMT1,DIM1 rRNA methyltransferase and ribosome maturation factor,protein_coding,0.4585183207363117,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000117411,B4GALT2,"beta-1,4-galactosyltransferase 2",protein_coding,0.4579725558921829,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000198888,MT-ND1,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1,protein_coding,0.4574563770686376,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000062598,ELMO2,engulfment and cell motility 2,protein_coding,0.4560426660377425,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000107862,GBF1,golgi brefeldin A resistant guanine nucleotide exchange factor 1,protein_coding,0.4553786701053179,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000137876,RSL24D1,ribosomal L24 domain containing 1,protein_coding,0.454607398421626,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000188428,BLOC1S5,biogenesis of lysosomal organelles complex 1 subunit 5,protein_coding,0.4543078885741159,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000127947,PTPN12,protein tyrosine phosphatase non-receptor type 12,protein_coding,0.454225041613811,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000132842,AP3B1,adaptor related protein complex 3 subunit beta 1,protein_coding,0.4540519817613574,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000109270,LAMTOR3,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 3",protein_coding,0.4534566497001587,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000109606,DHX15,DEAH-box helicase 15,protein_coding,0.4522231035939754,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000100241,SBF1,SET binding factor 1,protein_coding,0.4519351344543852,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000163399,ATP1A1,ATPase Na+/K+ transporting subunit alpha 1,protein_coding,0.451212480049824,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000153814,JAZF1,JAZF zinc finger 1,protein_coding,0.4509725220657329,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000125743,SNRPD2,small nuclear ribonucleoprotein D2 polypeptide,protein_coding,0.4500670742552721,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000109390,NDUFC1,NADH:ubiquinone oxidoreductase subunit C1,protein_coding,0.449435129524411,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000134463,ECHDC3,enoyl-CoA hydratase domain containing 3,protein_coding,0.4487633650003666,0,0,0,0,0,low,not_detected,checked_zero_mentions
