source,target,edge_type,association_score,evidence_source,target_symbol,paper_id,nct_id,topic_id,topic_score,lit_label,trial_label
alzheimers_disease,target_MTMR6,disease_target_evidence,0.4976720716320659,Open Targets,,,,,,,
alzheimers_disease,target_DRD1,disease_target_evidence,0.4964918626381651,Open Targets,,,,,,,
alzheimers_disease,target_H2BC4,disease_target_evidence,0.4953245841496741,Open Targets,,,,,,,
alzheimers_disease,target_TP53,disease_target_evidence,0.4951213066941584,Open Targets,,,,,,,
alzheimers_disease,target_KIF1A,disease_target_evidence,0.4934775830034178,Open Targets,,,,,,,
alzheimers_disease,target_NEU1,disease_target_evidence,0.4886089952304533,Open Targets,,,,,,,
alzheimers_disease,target_OGG1,disease_target_evidence,0.4877648235381816,Open Targets,,,,,,,
alzheimers_disease,target_PIK3CB,disease_target_evidence,0.4868782401418179,Open Targets,,,,,,,
alzheimers_disease,target_TGFBR2,disease_target_evidence,0.4830083848043395,Open Targets,,,,,,,
alzheimers_disease,target_BMS1,disease_target_evidence,0.4824617197451569,Open Targets,,,,,,,
alzheimers_disease,target_CLK2,disease_target_evidence,0.4823993150445137,Open Targets,,,,,,,
alzheimers_disease,target_GABRP,disease_target_evidence,0.4814067067058774,Open Targets,,,,,,,
alzheimers_disease,target_DRD3,disease_target_evidence,0.4803842725140399,Open Targets,,,,,,,
alzheimers_disease,target_NOC4L,disease_target_evidence,0.4791090291238817,Open Targets,,,,,,,
alzheimers_disease,target_XPO1,disease_target_evidence,0.4783128590683893,Open Targets,,,,,,,
alzheimers_disease,target_AP2S1,disease_target_evidence,0.4773971596481343,Open Targets,,,,,,,
alzheimers_disease,target_DRD4,disease_target_evidence,0.4771217441322876,Open Targets,,,,,,,
alzheimers_disease,target_SLC24A4,disease_target_evidence,0.4770198056518296,Open Targets,,,,,,,
alzheimers_disease,target_INPP5D,disease_target_evidence,0.4769343857371123,Open Targets,,,,,,,
alzheimers_disease,target_TGFBR1,disease_target_evidence,0.4750378558173373,Open Targets,,,,,,,
alzheimers_disease,target_RAB7A,disease_target_evidence,0.474824686168203,Open Targets,,,,,,,
alzheimers_disease,target_PTPN1,disease_target_evidence,0.4733977341165619,Open Targets,,,,,,,
alzheimers_disease,target_CLTC,disease_target_evidence,0.4728858568785419,Open Targets,,,,,,,
alzheimers_disease,target_PPT1,disease_target_evidence,0.4728154732398079,Open Targets,,,,,,,
alzheimers_disease,target_RRP15,disease_target_evidence,0.4726977086145429,Open Targets,,,,,,,
alzheimers_disease,target_RASGEF1C,disease_target_evidence,0.4703869592573467,Open Targets,,,,,,,
alzheimers_disease,target_NDUFS8,disease_target_evidence,0.4697485888989902,Open Targets,,,,,,,
alzheimers_disease,target_FCF1,disease_target_evidence,0.4690379000231848,Open Targets,,,,,,,
alzheimers_disease,target_NDUFB9,disease_target_evidence,0.4688652507665982,Open Targets,,,,,,,
alzheimers_disease,target_PPP1R10,disease_target_evidence,0.4686893597488367,Open Targets,,,,,,,
alzheimers_disease,target_NDUFA5,disease_target_evidence,0.4685556494443896,Open Targets,,,,,,,
alzheimers_disease,target_GM2A,disease_target_evidence,0.4684157194612444,Open Targets,,,,,,,
alzheimers_disease,target_AP2M1,disease_target_evidence,0.4681822308224015,Open Targets,,,,,,,
alzheimers_disease,target_HSD17B12,disease_target_evidence,0.467993063220509,Open Targets,,,,,,,
alzheimers_disease,target_NDUFC2,disease_target_evidence,0.4670283129077943,Open Targets,,,,,,,
alzheimers_disease,target_COPA,disease_target_evidence,0.466345507639121,Open Targets,,,,,,,
alzheimers_disease,target_SON,disease_target_evidence,0.4651528457924181,Open Targets,,,,,,,
alzheimers_disease,target_COPG1,disease_target_evidence,0.464992191482808,Open Targets,,,,,,,
alzheimers_disease,target_TMEM106B,disease_target_evidence,0.4647701043432878,Open Targets,,,,,,,
alzheimers_disease,target_NUP93,disease_target_evidence,0.4645497293282128,Open Targets,,,,,,,
alzheimers_disease,target_SF3B1,disease_target_evidence,0.4644398507441357,Open Targets,,,,,,,
alzheimers_disease,target_ACACA,disease_target_evidence,0.4642189930950091,Open Targets,,,,,,,
alzheimers_disease,target_BMP2K,disease_target_evidence,0.4641007425409068,Open Targets,,,,,,,
alzheimers_disease,target_PIK3R1,disease_target_evidence,0.4640863798250131,Open Targets,,,,,,,
alzheimers_disease,target_NAGPA,disease_target_evidence,0.4638903158507464,Open Targets,,,,,,,
alzheimers_disease,target_SNRPD3,disease_target_evidence,0.4638227176293007,Open Targets,,,,,,,
alzheimers_disease,target_MDN1,disease_target_evidence,0.4634832506063762,Open Targets,,,,,,,
alzheimers_disease,target_MED1,disease_target_evidence,0.4634711034619965,Open Targets,,,,,,,
alzheimers_disease,target_MCM10,disease_target_evidence,0.4633607428109449,Open Targets,,,,,,,
alzheimers_disease,target_NDUFA6,disease_target_evidence,0.4632818477780767,Open Targets,,,,,,,
alzheimers_disease,target_KIF18B,disease_target_evidence,0.4632221503654381,Open Targets,,,,,,,
alzheimers_disease,target_COPZ1,disease_target_evidence,0.4630929331463163,Open Targets,,,,,,,
alzheimers_disease,target_SNX3,disease_target_evidence,0.4630701093196636,Open Targets,,,,,,,
alzheimers_disease,target_TNPO3,disease_target_evidence,0.4630322273845584,Open Targets,,,,,,,
alzheimers_disease,target_COPB1,disease_target_evidence,0.4629911629562602,Open Targets,,,,,,,
alzheimers_disease,target_DSTYK,disease_target_evidence,0.462898767992589,Open Targets,,,,,,,
alzheimers_disease,target_COPB2,disease_target_evidence,0.462898767992589,Open Targets,,,,,,,
alzheimers_disease,target_HEATR1,disease_target_evidence,0.462898767992589,Open Targets,,,,,,,
alzheimers_disease,target_ZNF207,disease_target_evidence,0.462898767992589,Open Targets,,,,,,,
alzheimers_disease,target_PAF1,disease_target_evidence,0.4628122530463495,Open Targets,,,,,,,
alzheimers_disease,target_SEC13,disease_target_evidence,0.4627139780652466,Open Targets,,,,,,,
alzheimers_disease,target_DHX37,disease_target_evidence,0.4626215831015755,Open Targets,,,,,,,
alzheimers_disease,target_PXK,disease_target_evidence,0.462590500523488,Open Targets,,,,,,,
alzheimers_disease,target_PPP1R15B,disease_target_evidence,0.4623443982105619,Open Targets,,,,,,,
alzheimers_disease,target_NOP16,disease_target_evidence,0.4619748183558772,Open Targets,,,,,,,
alzheimers_disease,target_PLRG1,disease_target_evidence,0.4619748183558772,Open Targets,,,,,,,
alzheimers_disease,target_SNRPE,disease_target_evidence,0.4619748183558772,Open Targets,,,,,,,
alzheimers_disease,target_NUP205,disease_target_evidence,0.4619748183558772,Open Targets,,,,,,,
alzheimers_disease,target_MTMR14,disease_target_evidence,0.4619748183558772,Open Targets,,,,,,,
alzheimers_disease,target_PPAN,disease_target_evidence,0.4619748183558772,Open Targets,,,,,,,
alzheimers_disease,target_IMP3,disease_target_evidence,0.4619748183558772,Open Targets,,,,,,,
alzheimers_disease,target_SUPT6H,disease_target_evidence,0.4619748183558772,Open Targets,,,,,,,
alzheimers_disease,target_LTV1,disease_target_evidence,0.4619748183558772,Open Targets,,,,,,,
alzheimers_disease,target_FERMT2,disease_target_evidence,0.4616617934842458,Open Targets,,,,,,,
alzheimers_disease,target_PRDX2,disease_target_evidence,0.460568664371186,Open Targets,,,,,,,
alzheimers_disease,target_WDHD1,disease_target_evidence,0.4598018260294176,Open Targets,,,,,,,
alzheimers_disease,target_DIMT1,disease_target_evidence,0.4585183207363117,Open Targets,,,,,,,
alzheimers_disease,target_B4GALT2,disease_target_evidence,0.4579725558921829,Open Targets,,,,,,,
alzheimers_disease,target_MT-ND1,disease_target_evidence,0.4574563770686376,Open Targets,,,,,,,
alzheimers_disease,target_ELMO2,disease_target_evidence,0.4560426660377425,Open Targets,,,,,,,
alzheimers_disease,target_GBF1,disease_target_evidence,0.4553786701053179,Open Targets,,,,,,,
alzheimers_disease,target_RSL24D1,disease_target_evidence,0.454607398421626,Open Targets,,,,,,,
alzheimers_disease,target_BLOC1S5,disease_target_evidence,0.4543078885741159,Open Targets,,,,,,,
alzheimers_disease,target_PTPN12,disease_target_evidence,0.454225041613811,Open Targets,,,,,,,
alzheimers_disease,target_AP3B1,disease_target_evidence,0.4540519817613574,Open Targets,,,,,,,
alzheimers_disease,target_LAMTOR3,disease_target_evidence,0.4534566497001587,Open Targets,,,,,,,
alzheimers_disease,target_DHX15,disease_target_evidence,0.4522231035939754,Open Targets,,,,,,,
alzheimers_disease,target_SBF1,disease_target_evidence,0.4519351344543852,Open Targets,,,,,,,
alzheimers_disease,target_ATP1A1,disease_target_evidence,0.451212480049824,Open Targets,,,,,,,
alzheimers_disease,target_JAZF1,disease_target_evidence,0.4509725220657329,Open Targets,,,,,,,
alzheimers_disease,target_SNRPD2,disease_target_evidence,0.4500670742552721,Open Targets,,,,,,,
alzheimers_disease,target_NDUFC1,disease_target_evidence,0.449435129524411,Open Targets,,,,,,,
alzheimers_disease,target_ECHDC3,disease_target_evidence,0.4487633650003666,Open Targets,,,,,,,
alzheimers_disease,target_WRAP53,disease_target_evidence,0.4486477754083084,Open Targets,,,,,,,
alzheimers_disease,target_TAOK1,disease_target_evidence,0.4483204068100044,Open Targets,,,,,,,
alzheimers_disease,target_NDUFV1,disease_target_evidence,0.4478003542604742,Open Targets,,,,,,,
alzheimers_disease,target_SMG8,disease_target_evidence,0.4471290290115444,Open Targets,,,,,,,
alzheimers_disease,target_PILRA,disease_target_evidence,0.446425426458706,Open Targets,,,,,,,
alzheimers_disease,target_IPO7,disease_target_evidence,0.4454416451870511,Open Targets,,,,,,,
alzheimers_disease,target_NRIP1,disease_target_evidence,0.4447686096151935,Open Targets,,,,,,,
alzheimers_disease,target_PTDSS1,disease_target_evidence,0.4438498804381088,Open Targets,,,,,,,
alzheimers_disease,target_IL34,disease_target_evidence,0.4419147209240727,Open Targets,,,,,,,
alzheimers_disease,target_NDUFB4,disease_target_evidence,0.4398199662549898,Open Targets,,,,,,,
alzheimers_disease,target_SKP2,disease_target_evidence,0.4375669089055466,Open Targets,,,,,,,
alzheimers_disease,target_RIPK1,disease_target_evidence,0.4374567698195933,Open Targets,,,,,,,
alzheimers_disease,target_ABCA1,disease_target_evidence,0.4368866031626134,Open Targets,,,,,,,
alzheimers_disease,target_ABI3,disease_target_evidence,0.4368560009612777,Open Targets,,,,,,,
alzheimers_disease,target_SQLE,disease_target_evidence,0.4367586642314331,Open Targets,,,,,,,
alzheimers_disease,target_RAP2B,disease_target_evidence,0.4365547280618806,Open Targets,,,,,,,
alzheimers_disease,target_TRAPPC5,disease_target_evidence,0.4347519295921756,Open Targets,,,,,,,
alzheimers_disease,target_GGPS1,disease_target_evidence,0.4347443340030078,Open Targets,,,,,,,
alzheimers_disease,target_PDGFRA,disease_target_evidence,0.4344196262566399,Open Targets,,,,,,,
alzheimers_disease,target_ATP8B4,disease_target_evidence,0.4338584595907351,Open Targets,,,,,,,
alzheimers_disease,target_CALR,disease_target_evidence,0.4298642185878049,Open Targets,,,,,,,
alzheimers_disease,target_NECTIN2,disease_target_evidence,0.4295916112955035,Open Targets,,,,,,,
alzheimers_disease,target_BTF3,disease_target_evidence,0.4295736073846416,Open Targets,,,,,,,
alzheimers_disease,target_NISCH,disease_target_evidence,0.4270989636257116,Open Targets,,,,,,,
alzheimers_disease,target_PAPOLA,disease_target_evidence,0.4268370269495066,Open Targets,,,,,,,
alzheimers_disease,target_NUP160,disease_target_evidence,0.426506910931603,Open Targets,,,,,,,
alzheimers_disease,target_MTMR12,disease_target_evidence,0.4253095050669199,Open Targets,,,,,,,
alzheimers_disease,target_SNRK,disease_target_evidence,0.4247704598167648,Open Targets,,,,,,,
alzheimers_disease,target_RXRG,disease_target_evidence,0.4244641722495671,Open Targets,,,,,,,
alzheimers_disease,target_HTR2A,disease_target_evidence,0.42380304595372,Open Targets,,,,,,,
alzheimers_disease,target_TFCP2L1,disease_target_evidence,0.4236649230410255,Open Targets,,,,,,,
alzheimers_disease,target_TSPAN14,disease_target_evidence,0.4234031459768645,Open Targets,,,,,,,
alzheimers_disease,target_TTN,disease_target_evidence,0.4226250600916321,Open Targets,,,,,,,
alzheimers_disease,target_RANBP3,disease_target_evidence,0.4224839949304148,Open Targets,,,,,,,
alzheimers_disease,target_PRSS8,disease_target_evidence,0.4223067864061274,Open Targets,,,,,,,
alzheimers_disease,target_MTMR9,disease_target_evidence,0.4220482867824836,Open Targets,,,,,,,
alzheimers_disease,target_AP3D1,disease_target_evidence,0.418407554927161,Open Targets,,,,,,,
alzheimers_disease,target_EEF2,disease_target_evidence,0.4158359834280103,Open Targets,,,,,,,
alzheimers_disease,target_PDE7B,disease_target_evidence,0.4157743546151053,Open Targets,,,,,,,
alzheimers_disease,target_EPM2A,disease_target_evidence,0.4142010293825119,Open Targets,,,,,,,
alzheimers_disease,target_VPS28,disease_target_evidence,0.4139845755848841,Open Targets,,,,,,,
alzheimers_disease,target_PIP5K1A,disease_target_evidence,0.4138555974623084,Open Targets,,,,,,,
alzheimers_disease,target_HTR6,disease_target_evidence,0.4135650350240977,Open Targets,,,,,,,
alzheimers_disease,target_IDUA,disease_target_evidence,0.412711655541583,Open Targets,,,,,,,
alzheimers_disease,target_COX7C,disease_target_evidence,0.4123983991891219,Open Targets,,,,,,,
alzheimers_disease,target_SPI1,disease_target_evidence,0.41094073650748,Open Targets,,,,,,,
alzheimers_disease,target_CLK3,disease_target_evidence,0.4103618272911923,Open Targets,,,,,,,
alzheimers_disease,target_PPARG,disease_target_evidence,0.4099219073569957,Open Targets,,,,,,,
alzheimers_disease,target_PANK1,disease_target_evidence,0.4095639754869144,Open Targets,,,,,,,
alzheimers_disease,target_ADRA1D,disease_target_evidence,0.4095547468584312,Open Targets,,,,,,,
