approved_symbol,gap_rank,evidence_strength_norm,literature_signal_norm,trial_signal_norm,literature_trial_gap_norm,gap_score,conservative_gap_score,gap_category,gap_interpretation_tier,text_coverage_status,symbol_ambiguity_flag
MTMR6,99,0.309845568761299,0.0,0.0,0.0,0.123938,0.154923,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
DRD1,100,0.30765596665199,0.0,0.0,0.0,0.123062,0.153828,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
H2BC4,101,0.3054903540750995,0.0,0.0,0.0,0.122196,0.152745,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
TP53,102,0.3051132202389125,0.0,0.0,0.0,0.122045,0.152557,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
KIF1A,103,0.30206367487960195,0.0,0.0,0.0,0.120825,0.151032,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
NEU1,104,0.2930311474949351,0.0,0.0,0.0,0.117212,0.146516,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
OGG1,105,0.2914649841055953,0.0,0.0,0.0,0.116586,0.145732,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
PIK3CB,106,0.2898201357060418,0.0,0.0,0.0,0.115928,0.14491,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
TGFBR2,107,0.28264052306670984,0.0,0.0,0.0,0.113056,0.14132,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
BMS1,108,0.2816263137420414,0.0,0.0,0.0,0.112651,0.140813,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
CLK2,109,0.281510536396787,0.0,0.0,0.0,0.112604,0.140755,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
GABRP,110,0.2796689834826609,0.0,0.0,0.0,0.111868,0.139834,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
DRD3,111,0.2777720956647859,0.0,0.0,0.0,0.111109,0.138886,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
NOC4L,112,0.2754061794318111,0.0,0.0,0.0,0.110162,0.137703,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
XPO1,113,0.2739290718670627,0.0,0.0,0.0,0.109572,0.136965,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
AP2S1,114,0.27223020548623944,0.0,0.0,0.0,0.108892,0.136115,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
DRD4,115,0.27171923632946227,0.0,0.0,0.0,0.108688,0.13586,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
SLC24A4,116,0.27153011329025134,0.0,0.0,0.0,0.108612,0.135765,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
INPP5D,117,0.2713716365912865,0.0,0.0,0.0,0.108549,0.135686,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
TGFBR1,118,0.26785306832569344,0.0,0.0,0.0,0.107141,0.133927,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
RAB7A,119,0.2674575818349131,0.0,0.0,0.0,0.106983,0.133729,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
PTPN1,120,0.2648102056173931,0.0,0.0,0.0,0.105924,0.132405,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
CLTC,121,0.2638605369689859,0.0,0.0,0.0,0.105544,0.13193,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
PPT1,122,0.2637299565678626,0.0,0.0,0.0,0.105492,0.131865,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
RRP15,123,0.26351147181370915,0.0,0.0,0.0,0.105405,0.131756,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
RASGEF1C,124,0.2592244161373426,0.0,0.0,0.0,0.10369,0.129612,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
NDUFS8,125,0.2580400690510203,0.0,0.0,0.0,0.103216,0.12902,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
FCF1,126,0.25672155184807754,0.0,0.0,0.0,0.102689,0.128361,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
NDUFB9,127,0.2564012414807221,0.0,0.0,0.0,0.10256,0.128201,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
PPP1R10,128,0.25607491678273264,0.0,0.0,0.0,0.10243,0.128037,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
NDUFA5,129,0.25582684854552484,0.0,0.0,0.0,0.102331,0.127913,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
GM2A,130,0.2555672411473151,0.0,0.0,0.0,0.102227,0.127784,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
AP2M1,131,0.25513405751733764,0.0,0.0,0.0,0.102054,0.127567,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
HSD17B12,132,0.2547831012187012,0.0,0.0,0.0,0.101913,0.127392,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
NDUFC2,133,0.2529932323644615,0.0,0.0,0.0,0.101197,0.126497,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
COPA,134,0.2517264466813658,0.0,0.0,0.0,0.100691,0.125863,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
SON,135,0.2495137412124796,0.0,0.0,0.0,0.099805,0.124757,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,moderate
COPG1,136,0.24921568466740174,0.0,0.0,0.0,0.099686,0.124608,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
TMEM106B,137,0.2488036538562005,0.0,0.0,0.0,0.099521,0.124402,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
NUP93,138,0.2483947994919813,0.0,0.0,0.0,0.099358,0.124197,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
SF3B1,139,0.2481909454451925,0.0,0.0,0.0,0.099276,0.124095,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
ACACA,140,0.24778119566622647,0.0,0.0,0.0,0.099112,0.123891,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
BMP2K,141,0.2475618093846208,0.0,0.0,0.0,0.099025,0.123781,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
PIK3R1,142,0.24753516272019216,0.0,0.0,0.0,0.099014,0.123768,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
NAGPA,143,0.24717141181350322,0.0,0.0,0.0,0.098869,0.123586,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
SNRPD3,144,0.24704599910352731,0.0,0.0,0.0,0.098818,0.123523,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
MDN1,145,0.24641619733682518,0.0,0.0,0.0,0.098566,0.123208,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
MED1,146,0.2463936611478169,0.0,0.0,0.0,0.098557,0.123197,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
MCM10,147,0.24618891273836063,0.0,0.0,0.0,0.098476,0.123094,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
NDUFA6,148,0.24604254143355353,0.0,0.0,0.0,0.098417,0.123021,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
KIF18B,149,0.24593178682881045,0.0,0.0,0.0,0.098373,0.122966,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
COPZ1,150,0.24569205446190734,0.0,0.0,0.0,0.098277,0.122846,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low
SNX3,151,0.2456497101828521,0.0,0.0,0.0,0.09826,0.122825,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
TNPO3,152,0.24557942910090835,0.0,0.0,0.0,0.098232,0.12279,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
COPB1,153,0.2455032436462271,0.0,0.0,0.0,0.098201,0.122752,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
DSTYK,154,0.24533182637319362,0.0,0.0,0.0,0.098133,0.122666,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
COPB2,155,0.24533182637319362,0.0,0.0,0.0,0.098133,0.122666,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
HEATR1,156,0.24533182637319362,0.0,0.0,0.0,0.098133,0.122666,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
ZNF207,157,0.24533182637319362,0.0,0.0,0.0,0.098133,0.122666,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
PAF1,158,0.24517131809902204,0.0,0.0,0.0,0.098069,0.122586,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
SEC13,159,0.24498899182712686,0.0,0.0,0.0,0.097996,0.122494,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
DHX37,160,0.2448175745540936,0.0,0.0,0.0,0.097927,0.122409,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
PXK,161,0.24475990809086978,0.0,0.0,0.0,0.097904,0.12238,Low gap signal,Checked-zero text signal,checked_zero_mentions,moderate
PPP1R15B,162,0.24430332273499333,0.0,0.0,0.0,0.097721,0.122152,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
NOP16,163,0.24361765364285992,0.0,0.0,0.0,0.097447,0.121809,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
PLRG1,164,0.24361765364285992,0.0,0.0,0.0,0.097447,0.121809,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
SNRPE,165,0.24361765364285992,0.0,0.0,0.0,0.097447,0.121809,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
NUP205,166,0.24361765364285992,0.0,0.0,0.0,0.097447,0.121809,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
MTMR14,167,0.24361765364285992,0.0,0.0,0.0,0.097447,0.121809,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
PPAN,168,0.24361765364285992,0.0,0.0,0.0,0.097447,0.121809,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
IMP3,169,0.24361765364285992,0.0,0.0,0.0,0.097447,0.121809,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
SUPT6H,170,0.24361765364285992,0.0,0.0,0.0,0.097447,0.121809,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
LTV1,171,0.24361765364285992,0.0,0.0,0.0,0.097447,0.121809,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
FERMT2,172,0.24303690911139775,0.0,0.0,0.0,0.097215,0.121518,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
PRDX2,173,0.24100886338045324,0.0,0.0,0.0,0.096404,0.120504,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
WDHD1,174,0.23958617395907755,0.0,0.0,0.0,0.095834,0.119793,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
DIMT1,175,0.23720492969503815,0.0,0.0,0.0,0.094882,0.118602,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
B4GALT2,176,0.23619239050912544,0.0,0.0,0.0,0.094477,0.118096,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
MT-ND1,177,0.23523474127356103,0.0,0.0,0.0,0.094094,0.117617,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
ELMO2,178,0.23261193067713415,0.0,0.0,0.0,0.093045,0.116306,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
GBF1,179,0.2313800413238729,0.0,0.0,0.0,0.092552,0.11569,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
RSL24D1,180,0.22994912687211944,0.0,0.0,0.0,0.09198,0.114975,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
BLOC1S5,181,0.22939345631101038,0.0,0.0,0.0,0.091757,0.114697,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
PTPN12,182,0.22923975312795464,0.0,0.0,0.0,0.091696,0.11462,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
AP3B1,183,0.22891868099587687,0.0,0.0,0.0,0.091567,0.114459,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
LAMTOR3,184,0.22781418141683918,0.0,0.0,0.0,0.091126,0.113907,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
DHX15,185,0.22552562475442828,0.0,0.0,0.0,0.09021,0.112763,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
SBF1,186,0.22499136528113073,0.0,0.0,0.0,0.089997,0.112496,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
ATP1A1,187,0.2236506488345471,0.0,0.0,0.0,0.08946,0.111825,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
JAZF1,188,0.22320546284560216,0.0,0.0,0.0,0.089282,0.111603,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
SNRPD2,189,0.22152561593213183,0.0,0.0,0.0,0.08861,0.110763,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
NDUFC1,190,0.2203531900966984,0.0,0.0,0.0,0.088141,0.110177,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
ECHDC3,191,0.2191068879363116,0.0,0.0,0.0,0.087643,0.109553,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
WRAP53,192,0.2188924384482186,0.0,0.0,0.0,0.087557,0.109446,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
TAOK1,193,0.21828508248239187,0.0,0.0,0.0,0.087314,0.109143,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
NDUFV1,194,0.21732024645310588,0.0,0.0,0.0,0.086928,0.10866,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
SMG8,195,0.21607475926508612,0.0,0.0,0.0,0.08643,0.108037,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
PILRA,196,0.21476938907915133,0.0,0.0,0.0,0.085908,0.107385,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
IPO7,197,0.21294421272594077,0.0,0.0,0.0,0.085178,0.106472,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
NRIP1,198,0.2116955524332339,0.0,0.0,0.0,0.084678,0.105848,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
PTDSS1,199,0.20999106504631826,0.0,0.0,0.0,0.083996,0.104996,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
IL34,200,0.20640082859185938,0.0,0.0,0.0,0.08256,0.1032,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
NDUFB4,201,0.20251450060621257,0.0,0.0,0.0,0.081006,0.101257,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
SKP2,202,0.19833447897425605,0.0,0.0,0.0,0.079334,0.099167,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
RIPK1,203,0.1981301416270853,0.0,0.0,0.0,0.079252,0.099065,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
ABCA1,204,0.19707233057731977,0.0,0.0,0.0,0.078829,0.098536,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
ABI3,205,0.19701555534095028,0.0,0.0,0.0,0.078806,0.098508,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
SQLE,206,0.19683496977510362,0.0,0.0,0.0,0.078734,0.098417,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
RAP2B,207,0.1964566138488869,0.0,0.0,0.0,0.078583,0.098228,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
TRAPPC5,208,0.19311194239465723,0.0,0.0,0.0,0.077245,0.096556,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
GGPS1,209,0.19309785055317052,0.0,0.0,0.0,0.077239,0.096549,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
PDGFRA,210,0.19249543117657664,0.0,0.0,0.0,0.076998,0.096248,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
ATP8B4,211,0.19145431750799002,0.0,0.0,0.0,0.076582,0.095727,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
CALR,212,0.18404393632101212,0.0,0.0,0.0,0.073618,0.092022,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
NECTIN2,213,0.183538177167065,0.0,0.0,0.0,0.073415,0.091769,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
BTF3,214,0.18350477511590058,0.0,0.0,0.0,0.073402,0.091752,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
NISCH,215,0.1789136516603569,0.0,0.0,0.0,0.071565,0.089457,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
PAPOLA,216,0.17842768934208286,0.0,0.0,0.0,0.071371,0.089214,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
NUP160,217,0.17781523618094452,0.0,0.0,0.0,0.071126,0.088908,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
MTMR12,218,0.17559372929482653,0.0,0.0,0.0,0.070237,0.087797,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
SNRK,219,0.17459365674593708,0.0,0.0,0.0,0.069837,0.087297,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
RXRG,220,0.1740254117091199,0.0,0.0,0.0,0.06961,0.087013,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
HTR2A,221,0.17279884629622466,0.0,0.0,0.0,0.06912,0.086399,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
