approved_symbol,gap_rank,evidence_strength_norm,literature_signal_norm,trial_signal_norm,literature_trial_gap_norm,gap_score,conservative_gap_score,gap_category,gap_interpretation_tier,text_coverage_status,symbol_ambiguity_flag
TFCP2L1,222,0.17254259149513207,0.0,0.0,0.0,0.069017,0.086271,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
TSPAN14,223,0.17205692529972283,0.0,0.0,0.0,0.068823,0.086028,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
TTN,224,0.1706133686887048,0.0,0.0,0.0,0.068245,0.085307,Low gap signal,Checked-zero text signal,checked_zero_mentions,moderate
RANBP3,225,0.17035165523274254,0.0,0.0,0.0,0.068141,0.085176,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
PRSS8,226,0.17002288620914385,0.0,0.0,0.0,0.068009,0.085011,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
MTMR9,227,0.16954330053905386,0.0,0.0,0.0,0.067817,0.084772,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
AP3D1,228,0.16278877300110084,0.0,0.0,0.0,0.065116,0.081394,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
EEF2,229,0.1580178227644239,0.0,0.0,0.0,0.063207,0.079009,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
PDE7B,230,0.15790348489763217,0.0,0.0,0.0,0.063161,0.078952,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
EPM2A,231,0.1549845474334045,0.0,0.0,0.0,0.061994,0.077492,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
VPS28,232,0.1545829679722217,0.0,0.0,0.0,0.061833,0.077291,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
PIP5K1A,233,0.15434367919311054,0.0,0.0,0.0,0.061737,0.077172,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
HTR6,234,0.15380460845997768,0.0,0.0,0.0,0.061522,0.076902,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
IDUA,235,0.15222136216664173,0.0,0.0,0.0,0.060889,0.076111,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
COX7C,236,0.15164018817657043,0.0,0.0,0.0,0.060656,0.07582,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
SPI1,237,0.1489358355586201,0.0,0.0,0.0,0.059574,0.074468,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
CLK3,238,0.14786180473218802,0.0,0.0,0.0,0.059145,0.073931,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
PPARG,239,0.14704563605289311,0.0,0.0,0.0,0.058818,0.073523,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
PANK1,240,0.14638157707539923,0.0,0.0,0.0,0.058553,0.073191,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
ADRA1D,241,0.14636445551091581,0.0,0.0,0.0,0.058546,0.073182,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
ADRA1B,242,0.1444078268369673,0.0,0.0,0.0,0.057763,0.072204,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
MMP25,243,0.14402219280688822,0.0,0.0,0.0,0.057609,0.072011,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
QPCT,244,0.13817746497335393,0.0,0.0,0.0,0.055271,0.069089,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
MOB3B,245,0.1365806055991753,0.0,0.0,0.0,0.054632,0.06829,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
PTGS2,246,0.13520700650092443,0.0,0.0,0.0,0.054083,0.067604,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
PDE4B,247,0.1343378296968466,0.0,0.2529147100238403,0.0,0.053735,0.067169,Low gap signal,Established / trial-covered target,checked_with_mentions,low
MAK,248,0.13415150756753214,0.0,0.0,0.0,0.053661,0.067076,Low gap signal,Checked-zero text signal,checked_zero_mentions,moderate
CDH13,249,0.13378073879895624,0.0,0.0,0.0,0.053512,0.06689,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
DLD,250,0.13291008583499164,0.0,0.0,0.0,0.053164,0.066455,Low gap signal,Checked-zero text signal,checked_zero_mentions,moderate
ING3,251,0.13282178074921647,0.0,0.0,0.0,0.053129,0.066411,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
FBXL22,252,0.129183747915378,0.0,0.0,0.0,0.051673,0.064592,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
APH1A,253,0.12888315249233973,0.0,0.0,0.0,0.051553,0.064442,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
ELOVL7,254,0.1279203512754281,0.0,0.0,0.0,0.051168,0.06396,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
BRD2,255,0.12747846159748177,0.0,0.0,0.0,0.050991,0.063739,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
MRPS27,256,0.1268653036495333,0.0,0.0,0.0,0.050746,0.063433,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
CREB1,257,0.12472374669988973,0.0,0.0,0.0,0.049889,0.062362,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
MTMR10,258,0.12448678544970682,0.0,0.0,0.0,0.049795,0.062243,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
KAT5,259,0.12294587724614481,0.0,0.0,0.0,0.049178,0.061473,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
TSPO,260,0.12043540879733605,0.0,0.2529147100238403,0.0,0.048174,0.060218,Low gap signal,Established / trial-covered target,checked_with_mentions,low
USP6NL,261,0.12016947838428582,0.0,0.0,0.0,0.048068,0.060085,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
GABRB1,262,0.11957781119771949,0.0,0.0,0.0,0.047831,0.059789,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
EGFR,263,0.11886797039563457,0.0,0.0,0.0,0.047547,0.059434,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
TSPOAP1,264,0.11864033700775822,0.0,0.0,0.0,0.047456,0.05932,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
ADRA1A,265,0.11530466584458032,0.0,0.0,0.0,0.046122,0.057652,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
RELA,266,0.11516446287263626,0.0,0.0,0.0,0.046066,0.057582,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
UQCRB,267,0.11469876560337144,0.0,0.0,0.0,0.04588,0.057349,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
SCIMP,268,0.11262306400101063,0.0,0.0,0.0,0.045049,0.056312,Low gap signal,Checked-zero text signal,checked_zero_mentions,low
