target_id,approved_symbol,approved_name,biotype,association_score,datasource_scores,disease_id,disease_name,ds_clinical_precedence,ds_uniprot_variants,ds_eva,ds_gwas_credible_sets,ds_orphanet,ds_uniprot_literature,ds_genomics_england,ds_reactome,ds_europepmc,ds_impc,ds_expression_atlas,ds_crispr_screen,ds_gene_burden
ENSG00000178999,AURKB,aurora kinase B,protein_coding,0.5287759633031683,"{""crispr_screen"": 0.865457038266544, ""europepmc"": 0.08678539536278754}",MONDO_0004975,Alzheimer disease,,,,,,,,,0.08678539536278754,,,0.865457038266544,
ENSG00000119421,NDUFA8,NADH:ubiquinone oxidoreductase subunit A8,protein_coding,0.5284709157316196,"{""crispr_screen"": 0.865457038266544, ""expression_atlas"": 0.058708508939063986, ""europepmc"": 0.04059289031385596}",MONDO_0004975,Alzheimer disease,,,,,,,,,0.04059289031385596,,0.058708508939063986,0.865457038266544,
ENSG00000178127,NDUFV2,NADH:ubiquinone oxidoreductase core subunit V2,protein_coding,0.5277532415855091,"{""crispr_screen"": 0.8628203252428481, ""europepmc"": 0.10587366449436345}",MONDO_0004975,Alzheimer disease,,,,,,,,,0.10587366449436345,,,0.8628203252428481,
ENSG00000164167,LSM6,"LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated",protein_coding,0.5268771472813407,"{""crispr_screen"": 0.865457038266544, ""europepmc"": 0.024317231904464845}",MONDO_0004975,Alzheimer disease,,,,,,,,,0.024317231904464845,,,0.865457038266544,
ENSG00000100330,MTMR3,myotubularin related protein 3,protein_coding,0.5262820110553627,"{""crispr_screen"": 0.8274613634158176, ""gwas_credible_sets"": 0.15293033017902088}",MONDO_0004975,Alzheimer disease,,,,0.15293033017902088,,,,,,,,0.8274613634158176,
ENSG00000103546,SLC6A2,solute carrier family 6 member 2,protein_coding,0.5253338035950694,"{""clinical_precedence"": 0.853011343882106, ""europepmc"": 0.222457456132361}",MONDO_0004975,Alzheimer disease,0.853011343882106,,,,,,,,0.222457456132361,,,,
ENSG00000147889,CDKN2A,cyclin dependent kinase inhibitor 2A,protein_coding,0.5252849051254936,"{""crispr_screen"": 0.8172794925690077, ""europepmc"": 0.8484806391270234, ""gwas_credible_sets"": 0.03915232104533109}",MONDO_0004975,Alzheimer disease,,,,0.03915232104533109,,,,,0.8484806391270234,,,0.8172794925690077,
ENSG00000129757,CDKN1C,cyclin dependent kinase inhibitor 1C,protein_coding,0.5250486731811728,"{""crispr_screen"": 0.8601093946865037, ""europepmc"": 0.07111608244393944}",MONDO_0004975,Alzheimer disease,,,,,,,,,0.07111608244393944,,,0.8601093946865037,
ENSG00000170312,CDK1,cyclin dependent kinase 1,protein_coding,0.5248755708356222,"{""crispr_screen"": 0.8418708502856196, ""europepmc"": 0.4301921661769726}",MONDO_0004975,Alzheimer disease,,,,,,,,,0.4301921661769726,,,0.8418708502856196,
ENSG00000058729,RIOK2,RIO kinase 2,protein_coding,0.5244154452261425,"{""crispr_screen"": 0.8626235869056388}",MONDO_0004975,Alzheimer disease,,,,,,,,,,,,0.8626235869056388,
ENSG00000149295,DRD2,dopamine receptor D2,protein_coding,0.5239248574008657,"{""clinical_precedence"": 0.8483405272755431, ""europepmc"": 0.2695215981874115}",MONDO_0004975,Alzheimer disease,0.8483405272755431,,,,,,,,0.2695215981874115,,,,
ENSG00000023228,NDUFS1,NADH:ubiquinone oxidoreductase core subunit S1,protein_coding,0.5232633839227692,"{""crispr_screen"": 0.8569595671417235, ""europepmc"": 0.06129681997491774, ""expression_atlas"": 0.03168564303187851}",MONDO_0004975,Alzheimer disease,,,,,,,,,0.06129681997491774,,0.03168564303187851,0.8569595671417235,
ENSG00000198563,DDX39B,DExD-box helicase 39B,protein_coding,0.5222917544590315,"{""crispr_screen"": 0.8274613634158176, ""europepmc"": 0.619858062121429, ""expression_atlas"": 0.030420464862567387}",MONDO_0004975,Alzheimer disease,,,,,,,,,0.619858062121429,,0.030420464862567387,0.8274613634158176,
ENSG00000147416,ATP6V1B2,ATPase H+ transporting V1 subunit B2,protein_coding,0.5211752723946863,"{""crispr_screen"": 0.8511121304938736, ""expression_atlas"": 0.09402388136863021, ""europepmc"": 0.06661908323827347}",MONDO_0004975,Alzheimer disease,,,,,,,,,0.06661908323827347,,0.09402388136863021,0.8511121304938736,
ENSG00000073921,PICALM,phosphatidylinositol binding clathrin assembly protein,protein_coding,0.5190691988271273,"{""gwas_credible_sets"": 0.807712489767195, ""europepmc"": 0.9223385553827118}",MONDO_0004975,Alzheimer disease,,,,0.807712489767195,,,,,0.9223385553827118,,,,
